순위,도서번호,도서명,링크,저자,출판사,출판일,판매가,정가,할인율,판매지수,내용,이미지
318,116777159,C언어 Express,https://www.yes24.com/product/goods/116777159,천인국,생능출판사,2023년 01월,"32,000","32,000",,"7,740",,
319,116208355,마인크래프트 서바이벌 핸드북,https://www.yes24.com/product/goods/116208355,Mojang Studio 저/이주안 역,영진닷컴,2022년 12월,"10,800","12,000",10%,"1,002",,
320,116208304,마인크래프트 레드스톤 핸드북,https://www.yes24.com/product/goods/116208304,Mojang Studio 저/이주안 역,영진닷컴,2022년 12월,"10,800","12,000",10%,"1,410",,
321,113791780,코딩 자율학습 나도코딩의 C 언어 입문,https://www.yes24.com/product/goods/113791780,나도코딩,길벗,2022년 10월,"23,400","26,000",10%,"3,414",,
322,112630905,The art of game design (한국어판),https://www.yes24.com/product/goods/112630905,"윤형섭, 한호성",홍릉과학출판사,2022년 09월,"37,050","39,000",5%,"1,302",,
323,109651824,훅: 일상을 사로잡는 제품의 비밀,https://www.yes24.com/product/goods/109651824,니르 이얄 저/조자현 역,유엑스리뷰,2022년 05월,"20,700","23,000",10%,"2,148",,
324,108748709,코딩 자율학습 HTML + CSS + 자바스크립트,https://www.yes24.com/product/goods/108748709,김기수,길벗,2022년 04월,"24,300","27,000",10%,"5,616",,
325,102101600,된다! 사각사각 아이패드 드로잉 with 프로크리에이트,https://www.yes24.com/product/goods/102101600,"레이나, 임예진, 캘리스마인드",이지스퍼블리싱,2021년 06월,"21,600","24,000",10%,336,,
326,99942893,데이터 과학을 위한 통계,https://www.yes24.com/product/goods/99942893,"피터 브루스, 앤드루 브루스, 피터 게데크 저/이준용 역",한빛미디어,2021년 05월,"30,600","34,000",10%,"1,122",,
327,97316714,유니티를 몰라도 만들 수 있는 유니티 2D 게임 제작,https://www.yes24.com/product/goods/97316714,"모리 요시나오 저/김은철, 유세라 역",영진닷컴,2021년 02월,"19,800","22,000",10%,"1,428",,
328,96375165,수학대백과사전,https://www.yes24.com/product/goods/96375165,구라모토 다카후미 저/린커넥터 역,동양북스(동양books),2020년 12월,"16,200","18,000",10%,"1,497",,
329,92364669,카카오톡 이모티콘 만들기,https://www.yes24.com/product/goods/92364669,소콘소콘 김소희,길벗,2020년 09월,"14,400","16,000",10%,"1,026",,
330,91071614,한컴오피스 2020 한글+한셀+한쇼+한워드,https://www.yes24.com/product/goods/91071614,"㈜한글과컴퓨터, 허미현, 부성순",영진닷컴,2020년 07월,"17,100","19,000",10%,"2,568",,
331,90611902,STM32CubeIDE를 이용한 STM32 따라하기,https://www.yes24.com/product/goods/90611902,"김남수, 이진형",북랩,2020년 06월,"19,800","22,000",10%,570,,
332,89308097,최강 브롤러 전략 가이드북,https://www.yes24.com/product/goods/89308097,제이슨 리치,서울문화사,2020년 02월,"14,220","15,800",10%,"1,092",,
333,88244509,그림으로 배우는 네트워크 원리,https://www.yes24.com/product/goods/88244509,Gene 저/김성훈 역,영진닷컴,2020년 02월,"14,400","16,000",10%,858,,
334,76182394,된다! 7일 실무 엑셀,https://www.yes24.com/product/goods/76182394,한정희,이지스퍼블리싱,2019년 07월,"18,000","20,000",10%,"3,582",,
335,72227684,모두의 데이터 분석 with 파이썬,https://www.yes24.com/product/goods/72227684,"송석리, 이현아",길벗,2019년 04월,"16,200","18,000",10%,"3,180",,
336,11681152,Clean Code 클린 코드,https://www.yes24.com/product/goods/11681152,"로버트 C. 마틴 저/박재호, 이해영 역",인사이트(insight),2013년 12월,"29,700","33,000",10%,"4,617",,
337,7921251,린 스타트업,https://www.yes24.com/product/goods/7921251,"에릭 리스 저 / 이창수, 송우일 공역",인사이트(insight),2012년 11월,"16,200","18,000",10%,"6,186",,
338,193465618,머신러닝 플랫폼 엔지니어링,https://www.yes24.com/product/goods/193465618,"벤저민 탄 웨이 하오, 샤눕 파드마나반, 바룬 말랴 저/허정준 역",책만,2026년 07월,"31,500","35,000",10%,180,,
339,192090241,"디자인, 이렇게 하면 되나요? (최신 개정판)",https://www.yes24.com/product/goods/192090241,오자와 하야토 저/구수영 역,제이펍,2026년 06월,"19,620","21,800",10%,288,,
340,191890082,오렌지3 with 파이썬,https://www.yes24.com/product/goods/191890082,"김현철, 김종혜, 박종화, 임진숙",생능북스,2026년 06월,"28,800","32,000",10%,"1,191",,
341,191817076,AI기본법이 뭐길래,https://www.yes24.com/product/goods/191817076,"노신정, 마작가",페스트북,2026년 06월,"15,300","17,000",10%,"1,419",,
342,191208982,파이썬의 도구들,https://www.yes24.com/product/goods/191208982,정국진,영진닷컴,2026년 06월,"21,600","24,000",10%,582,,
343,191018764,AI 생존 지도,https://www.yes24.com/product/goods/191018764,이석현,여림재,2026년 06월,"18,000","20,000",10%,"3,003",,
344,190278636,AI 에이전트 개발과 운영 올인원 가이드,https://www.yes24.com/product/goods/190278636,"온다 미노루, 오쓰보 유, 쓰카다 마사키 저/두발타고 역",제이펍,2026년 06월,"29,700","33,000",10%,258,,
345,190272030,처음 시작하는 바이브 코딩,https://www.yes24.com/product/goods/190272030,"사카이 마리코, KEITO 저/고범석, 이한나 역",영진닷컴,2026년 06월,"18,000","20,000",10%,660,,
346,190250717,Node.js + NestJS 교과서,https://www.yes24.com/product/goods/190250717,조현영,길벗,2026년 05월,"36,000","40,000",10%,762,,
347,189857110,취미가 돈이 되는 인스타툰,https://www.yes24.com/product/goods/189857110,이건용,시프트,2026년 06월,"19,800","22,000",10%,"1,734",,
348,186921504,AI 에이전트 개발 완벽 입문,https://www.yes24.com/product/goods/186921504,"에디 유, 김대규, 조경아, 김현지",위키북스,2026년 04월,"37,800","42,000",10%,"3,255",,
349,145343581,네이버 블로그 AI 자동화 마케팅 with 챗GPT+Zapier+Make,https://www.yes24.com/product/goods/145343581,조영빈,디지털북스,2025년 04월,"18,000","20,000",10%,"3,240",,
350,128724816,나의 첫 노션 Notion 마스터북,https://www.yes24.com/product/goods/128724816,이유미,비즈니스북스,2024년 07월,"17,550","19,500",10%,"1,440",,
351,96234546,혼자 공부하는 자바스크립트,https://www.yes24.com/product/goods/96234546,윤인성,한빛미디어,2021년 01월,"21,600","24,000",10%,"1,092",,
352,193448335,AI 창업 퍼실리테이터,https://www.yes24.com/product/goods/193448335,"박상혁, 이명관",커뮤니케이션북스,2026년 07월,"12,000","12,000",,180,,
353,193406835,SAP ABAP 이야기 1 - Home 서버 설치 및 ABAP 입문,https://www.yes24.com/product/goods/193406835,김병순,BOOKK(부크크),2026년 07월,"28,000","28,000",,120,,
354,193188006,무조건 승인되는 이모티콘 & 굿즈 만들기,https://www.yes24.com/product/goods/193188006,백지수,시대인,2026년 07월,"16,200","18,000",10%,120,,
355,193184516,이공계생을 위한 파이썬 필수예제 3,https://www.yes24.com/product/goods/193184516,윤성호,지오북스,2026년 09월,"29,000","29,000",,120,,
356,193181823,컴퓨터 왕기초(윈도우 11&인터넷(엣지)&한글 2022&엑셀 2021&파워포인트 2021),https://www.yes24.com/product/goods/193181823,OPIG 교재편찬팀,시대인,2026년 07월,"13,500","15,000",10%,180,,
357,193181272,고등학생을 위한 실습으로 배우는 데이터 과학,https://www.yes24.com/product/goods/193181272,"윤태현, 나소영",삼양미디어,2026년 07월,"22,500","25,000",10%,480,,
358,193072395,Physical AI 지능제어 입문,https://www.yes24.com/product/goods/193072395,박연묵,교우,2026년 07월,"20,000","20,000",,162,,
359,193061800,생성형 AI와 메타버스 그리고 지식재산권,https://www.yes24.com/product/goods/193061800,송은지,커뮤니케이션북스,2026년 07월,"12,000","12,000",,162,,
360,192676816,처음이야? 파이썬 데이터 모델링&머신러닝,https://www.yes24.com/product/goods/192676816,"윤영빈, 오환, 이용희",영진닷컴,2026년 07월,"22,500","25,000",10%,372,,
361,192564687,테디노트의 LangGraph 에이전트 비법노트,https://www.yes24.com/product/goods/192564687,"이경록, 김태한, 임한택, 최재훈, 강민석 저 외 1명
                                        
정보 더 보기/감추기



이경록
김태한
임한택
최재훈
강민석
김성연",리코멘드,2026년 07월,"30,600","34,000",10%,666,,
362,192555244,실전 코딩 테스트 가이드,https://www.yes24.com/product/goods/192555244,"이상도, 쩜튜브 저/김민상 감수",영진닷컴,2026년 06월,"25,200","28,000",10%,267,,
363,192498898,생성형 AI와 틴커캐드로 완성하는 아두이노 발명 프로젝트,https://www.yes24.com/product/goods/192498898,이은상,BOOKK(부크크),2026년 06월,"19,700","19,700",,162,,
364,192090524,현직 개발자가 알려주는 Claude Code - 초 보 에 서 전 문 가 되기,https://www.yes24.com/product/goods/192090524,일락,BOOKK(부크크),2026년 06월,"44,100","44,100",,162,,
365,191533966,블렌더 3D 아트워크 완성 클래스,https://www.yes24.com/product/goods/191533966,장승필,영진닷컴,2026년 06월,"25,200","28,000",10%,636,,
366,191477503,평범한 일상을 특별하게 남기는 스마트폰 사진 & 보정,https://www.yes24.com/product/goods/191477503,최은영,시대인,2026년 06월,"18,000","20,000",10%,540,,
367,191005623,에이전틱 AI와 바이브 코딩 AI 개발의 정석 with 언리얼,https://www.yes24.com/product/goods/191005623,"이영호, 이영훈, 탁광욱, 김현진, 나유선 저 외 2명
                                        
정보 더 보기/감추기



이영호
이영훈
탁광욱
김현진
나유선
박현상
배주백",성안당,2026년 06월,"39,900","42,000",5%,408,,
368,190997764,AI 3D 모델링,https://www.yes24.com/product/goods/190997764,양영민,비엘북스,2026년 06월,"22,500","25,000",10%,"1,212",,
369,190823476,퇴근을 앞당기는 AI 업무 활용 루틴,https://www.yes24.com/product/goods/190823476,오언주,시대인,2026년 06월,"17,100","19,000",10%,"1,239",,
370,190440092,베테랑 AI 전문교사가 만든 가장 쉬운 패들렛 활용! Padlet(패들렛)으로 무엇이든 만들 수 있다 (교사를 위한 패들렛 수업 활용),https://www.yes24.com/product/goods/190440092,"봉우리, 윤상준, 이호준, 황호연",광문각출판미디어,2026년 05월,"17,000","17,000",,"1,194",,
371,190213378,한 권으로 끝내는 AI 자동화,https://www.yes24.com/product/goods/190213378,"최재용, 이요셉, 이신우, 최금선, 박경희 저 외 5명
                                        
정보 더 보기/감추기



최재용
이요셉
이신우
최금선
박경희
유미경
한주은
오영주
정은진
김진수",두온교육(주),2026년 05월,"19,800","22,000",10%,516,,
372,190211456,기업 AI자동화를 위한 클로드 AI활용,https://www.yes24.com/product/goods/190211456,"최재용, 박경희, 신진주, 임기정 저/권혁용 공저 외 3명
                                        
정보 더 보기/감추기



최재용
박경희
신진주
임기정
권혁용
김진수
최동진
김진선",미디어북,2026년 05월,"20,000","20,000",,450,,
373,189753516,LLMOps 완벽 가이드,https://www.yes24.com/product/goods/189753516,"아비 아리안 저/박조은, 박주환 역",한빛미디어,2026년 05월,"28,800","32,000",10%,984,,
374,189663337,바이브코딩으로 진짜 웹 서비스 하나를 끝까지 만든다!,https://www.yes24.com/product/goods/189663337,"이상용, 정동진",앤써북,2026년 05월,"16,920","18,800",10%,552,,
375,189477317,오픈클로,https://www.yes24.com/product/goods/189477317,오창근,생능북스,2026년 05월,"19,800","22,000",10%,804,,
